City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Glendive,US,47.1053,-104.7125,67.62,48,75,5.75,broken clouds
79,Batagay-Alyta,RU,67.8006,130.4114,34.25,31,0,3.15,clear sky
80,Lompoc,US,34.6391,-120.4579,67.01,96,40,0.0,scattered clouds
81,Najran,SA,17.4924,44.1277,83.05,17,90,4.27,overcast clouds
82,Meadow Lake,US,34.8014,-106.5436,74.8,64,27,5.95,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,20.21,59,94,7.96,overcast clouds
84,Havelock,US,34.8791,-76.9013,75.94,97,8,3.13,clear sky
85,Talnakh,RU,69.4865,88.3972,33.21,67,7,11.74,clear sky
86,Provideniya,RU,64.3833,-173.3,42.91,75,75,8.99,broken clouds
87,Itoman,JP,26.1247,127.6694,84.58,79,40,20.71,scattered clouds
88,Yulara,AU,-25.2406,130.9889,78.64,21,0,18.41,clear sky
89,Norman Wells,CA,65.282,-126.8329,44.64,57,20,6.91,few clouds
90,Saskylakh,RU,71.9167,114.0833,32.72,78,88,16.73,light snow
91,Priargunsk,RU,50.3691,119.1012,60.73,26,53,13.69,broken clouds
92,East London,ZA,-33.0153,27.9116,54.54,94,40,11.5,scattered clouds
93,Lata,PT,40.1629,-8.3327,65.07,88,57,2.77,broken clouds
94,Tahe,CN,52.3333,124.7333,55.74,34,14,9.42,few clouds
95,Upernavik,GL,72.7868,-56.1549,32.2,95,100,5.57,light snow
96,Mount Pleasant,US,32.7941,-79.8626,73.0,97,0,0.0,clear sky
97,Laguna,US,38.421,-121.4238,64.58,87,100,9.22,overcast clouds
98,Atuona,PF,-9.8,-139.0333,76.53,77,14,20.15,light rain
99,Calama,CL,-22.4667,-68.9333,41.49,33,2,16.11,clear sky
100,Ilhabela,BR,-23.7781,-45.3581,65.23,88,59,0.63,broken clouds
101,Mahebourg,MU,-20.4081,57.7,73.69,68,40,18.41,scattered clouds
102,Alugan,PH,12.2188,125.4808,85.41,70,100,4.29,overcast clouds
103,Kyshtovka,RU,56.555,76.6271,56.88,72,100,4.5,overcast clouds
104,Tautira,PF,-17.7333,-149.15,77.5,75,21,15.59,light rain
105,Pangnirtung,CA,66.1451,-65.7125,36.82,84,94,9.57,overcast clouds
106,Vardo,NO,70.3705,31.1107,42.78,93,100,25.32,overcast clouds
